"Collection Name","Title#1","Name#1","Name#2","Name#3","Name#4","Type of Resource#1","Genre#1","Place Term#1","Publisher#1","Date Created#1","Abstract#1","Subject Topic#1","Subject Topic#2","Subject Topic#3","Subject Topic#4","Subject Topic#5","Subject Topic#6","Subject Topic#7","Subject Topic#8","Identifier#1","Physical Location#1","Shelf Locator#1","Access Condition#1","lnexp_MEDIAFILENAME","lnexp_PAGEURL","lnexp_IMAGEURL:1"
"Clifford P. and Therese S. Westermeier Collection","Jack Quait trick riding","Quait, Jack; performer","","","","still images","Photographic postcards","","","","Rodeo performer Jack Quait balancing on a running horse with his feet in the air, a trick called a ""shoulder stand"" ","Rodeos","Rodeo performers","Trick riding","","","","","","narv_westermeier_36_07_M15.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 36, Fd 7, Photo M15","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","narv_westermeier_36_07_M15.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~691~223913","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/CUB~17~17/4661/narv_westermeier_36_07_M15.jpg"
"Clifford P. and Therese S. Westermeier Collection","Jack Quait trick riding","Quait, Jack; performer","","","","still images","Photographic postcards","","","","Rodeo performer Jack Quait passing under the stomach of a white horse, running past a barn door","Rodeos","Rodeo performers","Trick riding","","","","","","narv_westermeier_31_11_A14.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 11, Photo A14","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","narv_westermeier_31_11_A14.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~692~224090","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/CUB~17~17/4661/narv_westermeier_31_11_A14.jpg"
"Clifford P. and Therese S. Westermeier Collection","Jane Bernoudy on horseback","Bernoudy, Jane; performer","","","","still images","Photographic postcards","","","","Rodeo performer Jane Bernoudy posing on horseback","Cowgirls","Women rodeo performers","Women in rodeos","Horses","","","","","narv_westermeier_44_Book1_CN.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 44, Book 1, Photo CN","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","narv_westermeier_44_Book1_CN.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~693~223893","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/CUB~17~17/4661/narv_westermeier_44_Book1_CN.jpg"
"Clifford P. and Therese S. Westermeier Collection","Jane Bernoudy trick roping in blind-folded","Bernoudy, Jane; performer","","","","still images","Photographic postcards","","","","Rodeo performer Jane Bernoudy in blindfold beginning to spin lasso","Cowgirls","Rodeos","Women rodeo performers","Women in rodeos","Trick roping","","","","narv_westermeier_31_13_A6.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 13, Photo A6","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","narv_westermeier_31_13_A6.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~694~224073","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/CUB~17~17/4661/narv_westermeier_31_13_A6.jpg"
"Clifford P. and Therese S. Westermeier Collection","Jason Stanley trick roping","Bowman, Walter S.; photographer","Stanley, Jason; performer","","","still images","Photographic postcards","Oregon--Pendleton","","","Rodeo performer Jesse Stanley on a running horse, spinning a lasso around himself and horse, a trick called the ""wedding ring"" ","Rodeos","Rodeo performers","Trick roping","Horses","","","","","narv_westermeier_31_05_E1.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 5, Photo E1","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","narv_westermeier_31_05_E1.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~695~224127","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/CUB~17~17/4661/narv_westermeier_31_05_E1.jpg"
"Clifford P. and Therese S. Westermeier Collection","Jim Eskew and Bud Wallace","Eskew, Jim; performer","","","","still images","Photographic postcards","","","1908","Studio portrait of wild west show performers Jim Eskew and Bud Wallace","Rodeo performers","Wild west shows","","","","","","","narv_westermeier_26_09_E3.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 26, Fd 9, Photo E3","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","narv_westermeier_26_09_E3.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~696~224165","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/CUB~17~17/4661/narv_westermeier_26_09_E3.jpg"
"Clifford P. and Therese S. Westermeier Collection","John Muir falling from bronco","Bowman, Walter S.; photographer","Muir, John; performer","","","still images","Photographic postcards","Oregon--Pendleton","","1912","Rodeo performer John Muir landing on his head after falling from bucking bronco","Rodeos","Rodeo performers","Bronco Riding","","","","","","narv_westermeier_44_Book1_AE.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 44, Book 1, Photo AE","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","narv_westermeier_44_Book1_AE.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~698~223907","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/CUB~17~17/4661/narv_westermeier_44_Book1_AE.jpg"
"Clifford P. and Therese S. Westermeier Collection","John Thomas riding bronco","Thomas, John; performer","","","","still images","Photographic postcards","Colorado--Denver","","1910","Rodeo performer John Thomas riding bronco in empty field","Rodeos","Rodeo performers","Bronco Riding","","","","","","narv_westermeier_32_01_J5.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 32, Fd 1, Photo J5","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","narv_westermeier_32_01_J5.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~699~224032","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/CUB~17~17/4661/narv_westermeier_32_01_J5.jpg"
"Clifford P. and Therese S. Westermeier Collection","Johnny Grimes jumping bull over horse","Doubleday, R.R.; photographer","Grimes, Johnny; performer","","","still images","Photographic postcards","","","","Rodeo performer Johnny Grimes jumping a brahma bull, ""New Deal"" over a car","Rodeos","Rodeo performers","Rodeo Animals","","","","","","narv_westermeier_31_11_A5.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 11, Photo A5","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","narv_westermeier_31_11_A5.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~700~224094","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/CUB~17~17/4661/narv_westermeier_31_11_A5.jpg"
"Clifford P. and Therese S. Westermeier Collection","Johnny Grimes jumping bull over horse","Doubleday, R.R.; photographer","Grimes, Johnny; performer","","","still images","Photographic postcards","Colorado--Colorado Springs","","","Rodeo performer Johnny Grimes jumping a brahma bull over a car","Rodeos","Rodeo performers","Rodeo Animals","","","","","","narv_westermeier_31_11_A4.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 11, Photo A4","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","narv_westermeier_31_11_A4.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~701~224095","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/CUB~17~17/4661/narv_westermeier_31_11_A4.jpg"
