"Collection Name","Title#1","Name#1","Name#2","Name#3","Name#4","Type of Resource#1","Genre#1","Place Term#1","Publisher#1","Date Created#1","Abstract#1","Subject Topic#1","Subject Topic#2","Subject Topic#3","Subject Topic#4","Subject Topic#5","Subject Topic#6","Subject Topic#7","Subject Topic#8","Identifier ARK#1","Identifier#2","Physical Location#1","Shelf Locator#1","Access Condition#1","ln_RECORDID","ln_MEDIAID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"Clifford P. and Therese S. Westermeier Collection","Bea Kirman trick riding","Doubleday, R.R.; photographer","Kirman, Bea; performer","","","still image","Photographs","","","","Rodeo performer Bea Kirman on horseback, standing on the saddle with one foot raised","Cowgirls","Rodeos","Women rodeo performers","Women in rodeos","Horses","Trick riding","","","https://ark.colorado.edu/ark:/47540/fb542329n9m3","narv_westermeier_27_10_D2.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 27, Fd 10, Photo D2","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","627","224252","4858","narv_westermeier_27_10_D2.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~627~224252"
"Clifford P. and Therese S. Westermeier Collection","Bears from Sells-Floto Circus","","","","","still image","Photographic postcards","Oregon--Portland","R.J. Waters and Company","1914","Man in cage with trained bears, sitting at tables and drinking from bottles","Circus","Circus animals","Bears","","","","","","https://ark.colorado.edu/ark:/47540/5d739g9654qn","narv_westermeier_35_04_Q2.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 35, Fd 4, Photo Q2","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","628","223961","4858","narv_westermeier_35_04_Q2.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~628~223961"
"Clifford P. and Therese S. Westermeier Collection","Bee Gray roping a horse's tail","Gray, Bee; performer","","","","still image","Photographic postcards","Oklahoma--Chickasha","","","Rodeo performer Bee Grey roping the tail of a passing horse","Rodeos","Rodeo performers","Trick roping","Horses","","","","","https://ark.colorado.edu/ark:/47540/1p347b4993zd","narv_westermeier_26_09_F2.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 26, Fd 9, Photo F2","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","629","224161","4858","narv_westermeier_26_09_F2.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~629~224161"
"Clifford P. and Therese S. Westermeier Collection","Bernice Taylor Dossey trick riding","Taylor, Bernice; performer","","","","still image","Photographic postcards","Alberta--Calgary","","","Rodeo performer Bernice Taylor Dossey standing in the saddle of a running horse","Cowgirls","Rodeos","Women rodeo performers","Women in rodeos","Horses","Trick riding","","","https://ark.colorado.edu/ark:/47540/0n7k044240p5","narv_westermeier_29_19_A1.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 29, Fd 19, Photo A1","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","630","224214","4858","narv_westermeier_29_19_A1.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~630~224214"
"Clifford P. and Therese S. Westermeier Collection","Bill Baker bulldogging","Magruder; photographer","Baker, Bill; performer","","","still image","Photographic postcards","Colorado--Monte Vista","","","Rodeo performer Bill Baker approaching steer (or calf?) from a horse, at the Ski-Hi Stampede","Rodeos","Rodeo performers","Steer wrestling/Calf roping","","","","","","https://ark.colorado.edu/ark:/47540/t6420269190d","narv_westermeier_31_09_C3.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 9, Photo C3","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","631","224100","4858","narv_westermeier_31_09_C3.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~631~224100"
"Clifford P. and Therese S. Westermeier Collection","Bonnie McCaroll trick riding","McCaroll, Bonnie; performer","","","","still image","Photographic postcards","","","","Rodeo performer Bonnie McCarroll standing in the saddle of a moving horse with both hands in the air, a move called the ""Hippodrome Stand""","Cowgirls","Rodeos","Women rodeo performers","Women in rodeos","Horses","Trick riding","","","https://ark.colorado.edu/ark:/47540/r78b7405x4m9","narv_westermeier_31_13_B2.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 13, Photo B2","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","632","224069","4858","narv_westermeier_31_13_B2.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~632~224069"
"Clifford P. and Therese S. Westermeier Collection","Bonnie McCaroll trick riding at the Ski-Hi Stampede","Magruder; photographer","McCaroll, Bonnie; performer","","","still image","Photographic postcards","Colorado--Monte Vista","","","Rodeo performer Bonnie McCarroll doing a side back bend, holding onto the saddle of a moving horse","Cowgirls","Rodeos","Women rodeo performers","Women in rodeos","Horses","Trick riding","","","https://ark.colorado.edu/ark:/47540/c23z5k12v9hh","narv_westermeier_31_13_B1.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 13, Photo B1","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","633","224070","4858","narv_westermeier_31_13_B1.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~633~224070"
"Clifford P. and Therese S. Westermeier Collection","Bonnie McCarroll trick riding","McCaroll, Bonnie; performer","","","","still image","Photographic postcards","","","","Rodeo performer Bonnie McCarroll standing in the saddle of a moving horse","Cowgirls","Rodeos","Women rodeo performers","Women in rodeos","Horses","Trick riding","","","https://ark.colorado.edu/ark:/47540/x16t7z8318ks","narv_westermeier_31_13_B3.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 13, Photo B3","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","634","224068","4858","narv_westermeier_31_13_B3.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~634~224068"
"Clifford P. and Therese S. Westermeier Collection","Boy with bowing horse","","","","","still image","Photographic postcards","","Willoughby Studio","","Unidentified boy near tent, with bowing horse","Horses","","","","","","","","https://ark.colorado.edu/ark:/47540/bh7m0g98x5d2","narv_westermeier_36_07_M3.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 36, Fd 7, Photo M3","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","635","223916","4858","narv_westermeier_36_07_M3.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~635~223916"
"Clifford P. and Therese S. Westermeier Collection","Boys Ranch Rodeo","","","","","still image","Photographic postcards","Texas--Amarillo","","","Circle of spectators watching bull rider at Boys Ranch Rodeo","Rodeos","Rodeo performers","Steer riding","","","","","","https://ark.colorado.edu/ark:/47540/nv5v7b27m9c4","narv_westermeier_31_09_B1.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 9,. Photo B1","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","636","224213","4858","narv_westermeier_31_09_B1.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~636~224213"
