"Collection Name","Title#1","Name#1","Name#2","Name#3","Name#4","Type of Resource#1","Genre#1","Place Term#1","Publisher#1","Date Created#1","Abstract#1","Subject Topic#1","Subject Topic#2","Subject Topic#3","Subject Topic#4","Subject Topic#5","Subject Topic#6","Subject Topic#7","Subject Topic#8","Identifier ARK#1","Identifier#2","Physical Location#1","Shelf Locator#1","Access Condition#1","ln_RECORDID","ln_MEDIAID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"Clifford P. and Therese S. Westermeier Collection","Jack Hoxie and young roper","Hoxie, Jack; performer","","","","still image","Photographic postcards","","","","Rodeo performer Jack Hoxie standing in the saddle of a horse, with a young boy sitting on his shoulders spinning a lasso","Rodeos","Rodeo performers","Trick roping","","","","","","https://ark.colorado.edu/ark:/47540/3h531c69k5pc","narv_westermeier_44_Book2_CC.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 44, Book 2, Photo CC","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","688","223874","4858","narv_westermeier_44_Book2_CC.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~688~223874"
"Clifford P. and Therese S. Westermeier Collection","Jack Hoxie with boy","Hoxie, Jack; performer","","","","still image","Photographic postcards","","","","Rodeo performer Jack Hoxie posing with boy in rodeo apparel on his shoulders","Rodeos","Rodeo performers","","","","","","","https://ark.colorado.edu/ark:/47540/tw134170s5z4","narv_westermeier_44_Book1_CM.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 44, Book 1, Photo CM","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","689","223894","4858","narv_westermeier_44_Book1_CM.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~689~223894"
"Clifford P. and Therese S. Westermeier Collection","Jack Kerschen bulldogging","Doubleday, R.R.; photographer","Kerschen, Jack; performer","","","still image","Photographic postcards","Oregon--Pendleton","","","Rodeo performer Jack Kerschen on the ground after wrestling a steer","Rodeos","Rodeo performers","Steer wrestling","","","","","","https://ark.colorado.edu/ark:/47540/7b6b1f8025xd","narv_westermeier_44_Book1_U.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 44, Book 1, Photo U","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","690","223888","4858","narv_westermeier_44_Book1_U.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~690~223888"
"Clifford P. and Therese S. Westermeier Collection","Jack Quait trick riding","Quait, Jack; performer","","","","still image","Photographic postcards","","","","Rodeo performer Jack Quait balancing on a running horse with his feet in the air, a trick called a ""shoulder stand""","Rodeos","Rodeo performers","Trick riding","","","","","","https://ark.colorado.edu/ark:/47540/g35g3469p780","narv_westermeier_36_07_M15.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 36, Fd 7, Photo M15","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","691","223913","4858","narv_westermeier_36_07_M15.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~691~223913"
"Clifford P. and Therese S. Westermeier Collection","Jack Quait trick riding","Quait, Jack; performer","","","","still image","Photographic postcards","","","","Rodeo performer Jack Quait passing under the stomach of a white horse, running past a barn door","Rodeos","Rodeo performers","Trick riding","","","","","","https://ark.colorado.edu/ark:/47540/172w7296j9mn","narv_westermeier_31_11_A14.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 11, Photo A14","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","692","224090","4858","narv_westermeier_31_11_A14.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~692~224090"
"Clifford P. and Therese S. Westermeier Collection","Jane Bernoudy on horseback","Bernoudy, Jane; performer","","","","still image","Photographic postcards","","","","Rodeo performer Jane Bernoudy posing on horseback","Cowgirls","Women rodeo performers","Women in rodeos","Horses","","","","","https://ark.colorado.edu/ark:/47540/sb852h29r765","narv_westermeier_44_Book1_CN.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 44, Book 1, Photo CN","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","693","223893","4858","narv_westermeier_44_Book1_CN.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~693~223893"
"Clifford P. and Therese S. Westermeier Collection","Jane Bernoudy trick roping in blind-folded","Bernoudy, Jane; performer","","","","still image","Photographic postcards","","","","Rodeo performer Jane Bernoudy in blindfold beginning to spin lasso","Cowgirls","Rodeos","Women rodeo performers","Women in rodeos","Trick roping","","","","https://ark.colorado.edu/ark:/47540/3c1h444482d3","narv_westermeier_31_13_A6.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 13, Photo A6","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","694","224073","4858","narv_westermeier_31_13_A6.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~694~224073"
"Clifford P. and Therese S. Westermeier Collection","Jason Stanley trick roping","Bowman, Walter S.; photographer","Stanley, Jason; performer","","","still image","Photographic postcards","Oregon--Pendleton","","","Rodeo performer Jesse Stanley on a running horse, spinning a lasso around himself and horse, a trick called the ""wedding ring""","Rodeos","Rodeo performers","Trick roping","Horses","","","","","https://ark.colorado.edu/ark:/47540/840m1j00h698","narv_westermeier_31_05_E1.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 5, Photo E1","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","695","224127","4858","narv_westermeier_31_05_E1.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~695~224127"
"Clifford P. and Therese S. Westermeier Collection","Jim Eskew and Bud Wallace","Eskew, Jim; performer","","","","still image","Photographic postcards","","","1908","Studio portrait of wild west show performers Jim Eskew and Bud Wallace","Rodeo performers","Wild west shows","","","","","","","https://ark.colorado.edu/ark:/47540/bq2b6z94c7dc","narv_westermeier_26_09_E3.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 26, Fd 9, Photo E3","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","696","224165","4858","narv_westermeier_26_09_E3.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~696~224165"
"Clifford P. and Therese S. Westermeier Collection","John Muir falling from bronco","Bowman, Walter S.; photographer","Muir, John; performer","","","still image","Photographic postcards","Oregon--Pendleton","","1912","Rodeo performer John Muir landing on his head after falling from bucking bronco","Rodeos","Rodeo performers","Bronco riding","","","","","","https://ark.colorado.edu/ark:/47540/339j7b41x9ws","narv_westermeier_44_Book1_AE.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 44, Book 1, Photo AE","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","698","223907","4858","narv_westermeier_44_Book1_AE.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~698~223907"
"Clifford P. and Therese S. Westermeier Collection","John Thomas riding bronco","Thomas, John; performer","","","","still image","Photographic postcards","Colorado--Denver","","1910","Rodeo performer John Thomas riding bronco in empty field","Rodeos","Rodeo performers","Bronco riding","","","","","","https://ark.colorado.edu/ark:/47540/nw8f5f39t0c7","narv_westermeier_32_01_J5.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 32, Fd 1, Photo J5","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","699","224032","4858","narv_westermeier_32_01_J5.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~699~224032"
"Clifford P. and Therese S. Westermeier Collection","Johnny Grimes jumping bull over horse","Doubleday, R.R.; photographer","Grimes, Johnny; performer","","","still image","Photographic postcards","","","","Rodeo performer Johnny Grimes jumping a brahma bull, ""New Deal"" over a car","Rodeos","Rodeo performers","Rodeo animals","","","","","","https://ark.colorado.edu/ark:/47540/nw957s8100nb","narv_westermeier_31_11_A5.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 11, Photo A5","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","700","224094","4858","narv_westermeier_31_11_A5.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~700~224094"
"Clifford P. and Therese S. Westermeier Collection","Johnny Grimes jumping bull over horse","Doubleday, R.R.; photographer","Grimes, Johnny; performer","","","still image","Photographic postcards","Colorado--Colorado Springs","","","Rodeo performer Johnny Grimes jumping a brahma bull over a car","Rodeos","Rodeo performers","Rodeo animals","","","","","","https://ark.colorado.edu/ark:/47540/qb2q9327v46z","narv_westermeier_31_11_A4.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 11, Photo A4","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","701","224095","4858","narv_westermeier_31_11_A4.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~701~224095"
"Clifford P. and Therese S. Westermeier Collection","Johnny Judd trick roping","Jones; photographer","Judd, Johnny; performer","","","still image","Photographic postcards","New Mexico--Las Vegas","","","Rodeo performer Johnny Judd jumping through a spinning rope, at the Cowboy Reunion Rodeo","Rodeos","Rodeo performers","Trick roping","","","","","","https://ark.colorado.edu/ark:/47540/xv045d04k5s9","narv_westermeier_31_12_B4.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 12, Photo B4","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","702","224085","4858","narv_westermeier_31_12_B4.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~702~224085"
"Clifford P. and Therese S. Westermeier Collection","Johnny Spain and Jack Hoxie","Brininstool, E. A. (Earl Alonzo), 1870-1957; photographer","Spain, Johnny; performer","Hoxie, Jack; performer","","still image","Photographic postcards","","","1912","Rodeo performers Johnny Spain and Jack Hoxie standing and laughing with a horse","Rodeos","Rodeo performers","","","","","","","https://ark.colorado.edu/ark:/47540/zz3s2188g4cj","narv_westermeier_44_Book1_CJ.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 44, Book 1, Photo CJ","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","703","223896","4858","narv_westermeier_44_Book1_CJ.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~703~223896"
"Clifford P. and Therese S. Westermeier Collection","Laurette Schrimpf riding bronco","Schrimpf, Laurette; performer","","","","still image","Photographic postcards","Oregon--Pendleton","Pendleton Drug Co.","","Rodeo performer Laurette Schrimpf seen from behind riding bronco, Brandy","Cowgirls","Rodeos","Women rodeo performers","Women in rodeos","Bronco Riding","","","","https://ark.colorado.edu/ark:/47540/kt1w5t34p7zd","narv_westermeier_31_05_A1.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 5, Photo A1","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","704","224139","4858","narv_westermeier_31_05_A1.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~704~224139"
"Clifford P. and Therese S. Westermeier Collection","Lee Caldwell riding bronco","Marcell; photographer","Caldwell, Lee; performer","","","still image","Photographic postcards","Montana--Miles City","","1914","Rodeo performer Lee Caldwell riding bucking bronco","Rodeos","Rodeo performers","Bronco riding","","","","","","https://ark.colorado.edu/ark:/47540/46864415k3v0","narv_westermeier_31_06_I1.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 6, Photo I1","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","705","224122","4858","narv_westermeier_31_06_I1.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~705~224122"
"Clifford P. and Therese S. Westermeier Collection","Leo Karstad fallen from bronco","Brown; photographer","Karsad, Leo; performer","","","still image","Photographic postcards","","","","Rodeo performer Leo Karstad fallen from bronco","Rodeos","Rodeo performers","Bronco riding","","","","","","https://ark.colorado.edu/ark:/47540/pd4t3789v3sc","narv_westermeier_31_07_G6.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 7, Photo G6","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","706","224108","4858","narv_westermeier_31_07_G6.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~706~224108"
"Clifford P. and Therese S. Westermeier Collection","Leo Karstad riding bronco","Brown; photographer","Karsad, Leo; performer","","","still image","Photographic postcards","","","","Rodeo performer Leo Karstad riding bronco","Rodeos","Rodeo performers","Bronco riding","","","","","","https://ark.colorado.edu/ark:/47540/8s8t967690vz","narv_westermeier_31_07_G5.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 7, Photo G5","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","707","224109","4858","narv_westermeier_31_07_G5.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~707~224109"
"Clifford P. and Therese S. Westermeier Collection","Leonard and Mayme Stroud and group in decorated car","Stroud, Mayme; performer","Stroud, Leonard; performer","","","still image","Photographic postcards","","","","Husband and wife rodeo performers Leonard and Mayme Stroud posing with a group in a car. A large steer head on the front of the car, and a large bird statue inside.","Women rodeo performers","Women in rodeos","Rodeo performers","Automobiles","","","","","https://ark.colorado.edu/ark:/47540/p25z4c73n7j0","narv_westermeier_32_01_B2.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 32, Fd 1, B2","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","708","224040","4858","narv_westermeier_32_01_B2.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~708~224040"
"Clifford P. and Therese S. Westermeier Collection","Leonard and Mayme Stroud in roman stand race","Stroud, Mayme; performer","Stroud, Leonard; performer","","","still image","Photographic postcards","","","","Rodeo performers Leonard and Mayme Stroud in roman stand race with another man, Mason","Cowgirls","Rodeos","Women rodeo performers","Women in rodeos","Rodeo performers","Rodeos","Trick riding","Racing","https://ark.colorado.edu/ark:/47540/g5722036w805","narv_westermeier_37_04_G19.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 37, Fd 4, Photo G19","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","709","223910","4858","narv_westermeier_37_04_G19.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~709~223910"
"Clifford P. and Therese S. Westermeier Collection","Leonard and Mayme Stroud in roman stand race","Stroud, Mayme; performer","","","","still image","Photographic postcards","","","","Rodeo performers Leonard and Mayme Stroud in roman stand race with another man in rodeo arena","Cowgirls","Women rodeo performers","Women in rodeos","Rodeo performers","Rodeos","Trick riding","Racing","","https://ark.colorado.edu/ark:/47540/r2502s88j87m","narv_westermeier_32_01_A12.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 32, Fd 1, Photo A12","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","710","224046","4858","narv_westermeier_32_01_A12.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~710~224046"
"Clifford P. and Therese S. Westermeier Collection","Leonard and Mayme Stroud jumping horses over hurdles","Stroud, Leonard; performer","Stroud, Mayme; performer","","","still image","Photographic postcards","","","","Husband and wife rodeo performers Leonard and Mayme Stroud jumping horses over hurdles","Cowgirls","Women rodeo performers","Women in rodeos","Rodeos","Rodeo performers","Rodeo Animals","Horses","Jumping (Horsemanship)","https://ark.colorado.edu/ark:/47540/3j502h74j9dp","narv_westermeier_37_04_G20.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 37, Fd 4, Photo G20","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","711","223909","4858","narv_westermeier_37_04_G20.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~711~223909"
"Clifford P. and Therese S. Westermeier Collection","Leonard and Mayme Stroud on horses","Doubleday, R.R.; photographer","Stroud, Mayme; performer","Stroud, Leonard; performer","","still image","Photographic postcards","","","","Husband and wife rodeo performers Leonard and Mayme Stroud on horses","Cowgirls","Women rodeo performers","Women in rodeos","Rodeo performers","","","","","https://ark.colorado.edu/ark:/47540/rx6p7n8095dr","narv_westermeier_36_07_M14.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 36, Fd 7, Photo M14","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","712","223914","4858","narv_westermeier_36_07_M14.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~712~223914"
"Clifford P. and Therese S. Westermeier Collection","Leonard and Mayme Stroud with group of rodeo performers","Doubleday, R.R.; photographer","Stroud, Mayme; performer","Stroud, Leonard; performer","","still image","Photographic postcards","Texas--Fort Worth","","","Husband and wife rodeo performers Leonard and Mayme Stroud with group of men and women rodeo performers","Women rodeo performers","Women in rodeos","Rodeo performers","","","","","","https://ark.colorado.edu/ark:/47540/hv6t245657fz","narv_westermeier_32_01_K1.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 32, Fd 1, K1","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","713","224031","4858","narv_westermeier_32_01_K1.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~713~224031"
"Clifford P. and Therese S. Westermeier Collection","Leonard and Mayme Stroud with others","Stroud, Mayme; performer","Stroud, Leonard; performer","","","still image","Photographic postcards","","","","Husband and wife rodeo performers Leonard and Mayme Stroud posing with two other rodeo performers and three horses. Hank Durnell in bowtie.","Rodeos","Rodeo performers","Women rodeo performers","Women in rodeos","Horses","","","","https://ark.colorado.edu/ark:/47540/xc5b3j54m6kr","narv_westermeier_32_01_B1.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 32, Fd 1, Photo B1","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","714","224041","4858","narv_westermeier_32_01_B1.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~714~224041"
"Clifford P. and Therese S. Westermeier Collection","Leonard Stroud and another man","Strand; photographer","Stroud, Leonard; performer","","","still image","Photographic postcards","","","","Studio portrait of rodeo performer Leonard Stroud with another cowboy","Rodeos","Rodeo performers","","","","","","","https://ark.colorado.edu/ark:/47540/z24j7g79t1bh","narv_westermeier_35_02_D1.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 35, Fd 2, Photo D1","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","715","223979","4858","narv_westermeier_35_02_D1.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~715~223979"
"Clifford P. and Therese S. Westermeier Collection","Leonard Stroud and Garrett","Burns; photographer","Stroud, Leonard; performer","Garrett; performer","","still image","Photographic postcards","Washington (State)--Walla Walla","","1917","Rodeo performers Leonard Stroud and Garrett posing with ropes at Pioneer Pow Wow Rodeo","Rodeos","Rodeo performers","","","","","","","https://ark.colorado.edu/ark:/47540/kk242674n445","narv_westermeier_34_16_Q1.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 34, Fd 16, Photo Q1","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","716","224010","4858","narv_westermeier_34_16_Q1.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~716~224010"
"Clifford P. and Therese S. Westermeier Collection","Leonard Stroud and Hank Durnell","Stroud, Leonard; performer","Durnell, Hank; performer","","","still image","Photographic postcards","","","","Rodeo performers Leonard Stroud and Hank Durnell posing with ropes","Rodeos","Rodeo performers","","","","","","","https://ark.colorado.edu/ark:/47540/rz8p9c56k2qd","narv_westermeier_34_16_Q2.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 34, Fd 16, Photo Q2","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","717","224009","4858","narv_westermeier_34_16_Q2.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~717~224009"
"Clifford P. and Therese S. Westermeier Collection","Leonard Stroud and Hank Durnell trick roping","Stroud, Leonard; performer","Durnell, Hank; performer","","","still image","Photographic postcards","","","","Rodeo performers Leonard Stroud and Hank Durnell, as seen through large lasso, spun by Durnell","Rodeos","Rodeo performers","Trick roping","","","","","","https://ark.colorado.edu/ark:/47540/n9843z67z994","narv_westermeier_35_01_S1.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 35, Fd 1, Photo S1","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","718","223981","4858","narv_westermeier_35_01_S1.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~718~223981"
"Clifford P. and Therese S. Westermeier Collection","Leonard Stroud and Hank Durnell trick roping","Stroud, Leonard; performer","Durnell, Hank; performer","","","still image","Photographic postcards","","","1918","Rodeo performer Leonard Stroud and Hank Durnell jumping in and out of low spinning rope. Caption reads, ""A two-in-one, a cowboy pastime""","Rodeos","Rodeo performers","Trick roping","Horses","","","","","https://ark.colorado.edu/ark:/47540/6916418586v1","narv_westermeier_34_16_U19.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 34, Fd 16, Photo U19","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","719","224001","4858","narv_westermeier_34_16_U19.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~719~224001"
"Clifford P. and Therese S. Westermeier Collection","Leonard Stroud bulldogging","Horne, Walter H., 1883-1921; photographer","Stroud, Leonard; performer","","","still image","Photographic postcards","Texas--El Paso","","","Rodeo performer Leonard Stroud wrestling a standing steer","Rodeos","Rodeo performers","Steer wrestling","","","","","","https://ark.colorado.edu/ark:/47540/jn339k15z57d","narv_westermeier_34_17_W2.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 34, Fd 17, Photo W2","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","720","223989","4858","narv_westermeier_34_17_W2.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~720~223989"
"Clifford P. and Therese S. Westermeier Collection","Leonard Stroud calf roping","Stroud, Leonard; performer","","","","still image","Photographs","","","1918","Rodeo performer Leonard Stroud stands, with hands in the air, over a calf roped on the ground","Rodeos","Rodeo performers","Calf roping","","","","","","https://ark.colorado.edu/ark:/47540/j21n3j3161wf","narv_westermeier_34_17_C2.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 34, Fd 17, Photo C2","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","721","223996","4858","narv_westermeier_34_17_C2.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~721~223996"
"Clifford P. and Therese S. Westermeier Collection","Leonard Stroud doing shoulder stand","Doubleday, R.R.; photographer","Stroud, Leonard; performer","","","still image","Photographic postcards","New Mexico--Magdalena","","","Rodeo performer Leonard Stroud riding a running horse with both feet in the air, a trick called the ""shoulder stand."" Mountains and cars in the background.","Rodeos","Rodeo performers","Trick riding","","","","","","https://ark.colorado.edu/ark:/47540/gv4t564686w7","narv_westermeier_34_15_F1.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 34, Fd 15, Photo F1","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","722","224021","4858","narv_westermeier_34_15_F1.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~722~224021"
"Clifford P. and Therese S. Westermeier Collection","Leonard Stroud doing shoulder stand","Stroud, Leonard; performer","","","","still image","Photographic postcards","New York (State)","","1916","Rodeo performer Leonard Stroud riding a running horse with both feet in the air, a trick called the ""shoulder stand."" Women spectators in the background","Rodeos","Rodeo performers","Trick riding","","","","","","https://ark.colorado.edu/ark:/47540/2174097047fd","narv_westermeier_34_15_B1.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 34, Fd 15, Photo B1","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","723","224025","4858","narv_westermeier_34_15_B1.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~723~224025"
"Clifford P. and Therese S. Westermeier Collection","Leonard Stroud doing shoulder stand","Stroud, Leonard; performer","","","","still image","Photographic postcards","New York (State)--Syracuse","","1924","Rodeo performer Leonard Stroud riding a running horse with both feet in the air, a trick called the ""shoulder stand""","Rodeos","Rodeo performers","Trick riding","","","","","","https://ark.colorado.edu/ark:/47540/4j6k1r03g03q","narv_westermeier_34_15_I7.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 34, Fd 15, Photo I7","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","724","224014","4858","narv_westermeier_34_15_I7.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~724~224014"
"Clifford P. and Therese S. Westermeier Collection","Leonard Stroud doing shoulder stand","Stroud, Leonard; performer","","","","still image","Photographic postcards","Colorado--Pueblo","Rocky Mountain Photo Company","","Rodeo performer Leonard Stroud riding a running horse with both feet in the air, a trick called the ""shoulder stand."" At the Colorado State Fair and Rodeo","Rodeos","Rodeo performers","Trick riding","","","","","","https://ark.colorado.edu/ark:/47540/4c660k68g0wp","narv_westermeier_34_15_E1.tif","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 34, Fd 15, Photo E1","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States. https://rightsstatements.org/page/NoC-US/1.0/?language=en","725","224024","4858","narv_westermeier_34_15_E1.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~725~224024"
