"Collection Name","Title#1","Name#1","Name Authority#1","Name#2","Name Authority#2","Name#3","Name Authority#3","Name#4","Name Authority#4","Type of Resource#1","Type of Resource Authority#1","Genre#1","Genre Authority#1","Place Term#1","Publisher#1","Date Created#1","Language Term#1","Language Term Code#1","Language Term Code Authority#1","Language Term Type#1","Form#1","Form Authority#1","Internet Media Type#1","Extent#1","Digital Origin#1","Abstract#1","Subject Topic#1","Subject Topic Authority#1","Subject Topic#2","Subject Topic Authority#2","Subject Topic#3","Subject Topic Authority#3","Subject Topic#4","Subject Topic Authority#4","Subject Topic#5","Subject Topic Authority#5","Subject Topic#6","Subject Topic Authority#6","Subject Topic#7","Subject Topic Authority#7","Subject Topic#8","Subject Topic Authority#8","Identifier#1","Identifier ARK#1","Physical Location#1","Shelf Locator#1","Access Condition URI#1","Access Condition#2","ln_RECORDID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"Clifford P. and Therese S. Westermeier Collection","Bea Kirman trick riding","Doubleday, Ralph Russell, 1881-1958;photographer","local","Kirman, Bea;performer","local","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","photographs","http://vocab.getty.edu/page/aat/300046300","","","","English","ISO639-2","http://id.loc.gov/vocabulary/iso639-2/eng","eng","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","image/tiff","1 photograph","reformatted digital","Rodeo performer Bea Kirman on horseback, standing on the saddle with one foot raised","Cowgirls","http://id.worldcat.org/fast/882007","Rodeos","http://id.worldcat.org/fast/1099565","Women rodeo performers","http://id.worldcat.org/fast/1178476","Women in rodeos","http://id.worldcat.org/fast/1177964","Horses","http://id.worldcat.org/fast/960603","Trick riding","http://id.worldcat.org/fast/1156638","","","","","narv_westermeier_27_10_D2.tif","https://ark.colorado.edu/ark:/47540/fb542329n9m3","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 27, Fd 10, Photo D2","https://rightsstatements.org/page/NoC-US/1.0/?language=en","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States.","627","4858","narv_westermeier_27_10_D2.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~627~224252"
"Clifford P. and Therese S. Westermeier Collection","Bears from Sells-Floto Circus","","","","","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","photographic postcards","http://vocab.getty.edu/page/aat/300192703","Oregon--Portland","R.J. Waters and Company","1914","English","ISO639-2","http://id.loc.gov/vocabulary/iso639-2/eng","eng","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","image/tiff","1 photograph","reformatted digital","Man in cage with trained bears, sitting at tables and drinking from bottles","Circus","http://id.worldcat.org/fast/861646","Circus animals","http://id.worldcat.org/fast/861660","Bears","http://id.worldcat.org/fast/829302","","","","","","","","","","","narv_westermeier_35_04_Q2.tif","https://ark.colorado.edu/ark:/47540/5d739g9654qn","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 35, Fd 4, Photo Q2","https://rightsstatements.org/page/NoC-US/1.0/?language=en","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States.","628","4858","narv_westermeier_35_04_Q2.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~628~223961"
"Clifford P. and Therese S. Westermeier Collection","Bee Gray roping a horse's tail","Gray, Bee;performer","local","","","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","photographic postcards","http://vocab.getty.edu/page/aat/300192703","Oklahoma--Chickasha","","","English","ISO639-2","http://id.loc.gov/vocabulary/iso639-2/eng","eng","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","image/tiff","1 photograph","reformatted digital","Rodeo performer Bee Grey roping the tail of a passing horse","Rodeos","http://id.worldcat.org/fast/1099565","Rodeo performers","http://id.worldcat.org/fast/1099561","Trick roping","http://id.worldcat.org/fast/1156639","Horses","http://id.worldcat.org/fast/960603","","","","","","","","","narv_westermeier_26_09_F2.tif","https://ark.colorado.edu/ark:/47540/1p347b4993zd","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 26, Fd 9, Photo F2","https://rightsstatements.org/page/NoC-US/1.0/?language=en","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States.","629","4858","narv_westermeier_26_09_F2.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~629~224161"
"Clifford P. and Therese S. Westermeier Collection","Bernice Taylor Dossey trick riding","Taylor, Bernice;performer","local","","","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","photographic postcards","http://vocab.getty.edu/page/aat/300192703","Alberta--Calgary","","","English","ISO639-2","http://id.loc.gov/vocabulary/iso639-2/eng","eng","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","image/tiff","1 photograph","reformatted digital","Rodeo performer Bernice Taylor Dossey standing in the saddle of a running horse","Cowgirls","http://id.worldcat.org/fast/882007","Rodeos","http://id.worldcat.org/fast/1099565","Women rodeo performers","http://id.worldcat.org/fast/1178476","Women in rodeos","http://id.worldcat.org/fast/1177964","Horses","http://id.worldcat.org/fast/960603","Trick riding","http://id.worldcat.org/fast/1156638","","","","","narv_westermeier_29_19_A1.tif","https://ark.colorado.edu/ark:/47540/0n7k044240p5","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 29, Fd 19, Photo A1","https://rightsstatements.org/page/NoC-US/1.0/?language=en","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States.","630","4858","narv_westermeier_29_19_A1.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~630~224214"
"Clifford P. and Therese S. Westermeier Collection","Bill Baker bulldogging","Magruder;photographer","local","Baker, Bill;performer","local","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","photographic postcards","http://vocab.getty.edu/page/aat/300192703","Colorado--Monte Vista","","","English","ISO639-2","http://id.loc.gov/vocabulary/iso639-2/eng","eng","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","image/tiff","1 photograph","reformatted digital","Rodeo performer Bill Baker approaching steer (or calf?) from a horse, at the Ski-Hi Stampede","Rodeos","http://id.worldcat.org/fast/1099565","Rodeo performers","http://id.worldcat.org/fast/1099561","Calf roping","http://id.loc.gov/authorities/subjects/sh90004582","","","","","","","","","","","narv_westermeier_31_09_C3.tif","https://ark.colorado.edu/ark:/47540/t6420269190d","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 9, Photo C3","https://rightsstatements.org/page/NoC-US/1.0/?language=en","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States.","631","4858","narv_westermeier_31_09_C3.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~631~224100"
"Clifford P. and Therese S. Westermeier Collection","Bonnie McCaroll trick riding","McCaroll, Bonnie;performer","local","","","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","photographic postcards","http://vocab.getty.edu/page/aat/300192703","","","","English","ISO639-2","http://id.loc.gov/vocabulary/iso639-2/eng","eng","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","image/tiff","1 photograph","reformatted digital","Rodeo performer Bonnie McCarroll standing in the saddle of a moving horse with both hands in the air, a move called the ""Hippodrome Stand""","Cowgirls","http://id.worldcat.org/fast/882007","Rodeos","http://id.worldcat.org/fast/1099565","Women rodeo performers","http://id.worldcat.org/fast/1178476","Women in rodeos","http://id.worldcat.org/fast/1177964","Horses","http://id.worldcat.org/fast/960603","Trick riding","http://id.worldcat.org/fast/1156638","","","","","narv_westermeier_31_13_B2.tif","https://ark.colorado.edu/ark:/47540/r78b7405x4m9","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 13, Photo B2","https://rightsstatements.org/page/NoC-US/1.0/?language=en","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States.","632","4858","narv_westermeier_31_13_B2.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~632~224069"
"Clifford P. and Therese S. Westermeier Collection","Bonnie McCaroll trick riding at the Ski-Hi Stampede","Magruder;photographer","local","McCaroll, Bonnie;performer","local","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","photographic postcards","http://vocab.getty.edu/page/aat/300192703","Colorado--Monte Vista","","","English","ISO639-2","http://id.loc.gov/vocabulary/iso639-2/eng","eng","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","image/tiff","1 photograph","reformatted digital","Rodeo performer Bonnie McCarroll doing a side back bend, holding onto the saddle of a moving horse","Cowgirls","http://id.worldcat.org/fast/882007","Rodeos","http://id.worldcat.org/fast/1099565","Women rodeo performers","http://id.worldcat.org/fast/1178476","Women in rodeos","http://id.worldcat.org/fast/1177964","Horses","http://id.worldcat.org/fast/960603","Trick riding","http://id.worldcat.org/fast/1156638","","","","","narv_westermeier_31_13_B1.tif","https://ark.colorado.edu/ark:/47540/c23z5k12v9hh","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 13, Photo B1","https://rightsstatements.org/page/NoC-US/1.0/?language=en","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States.","633","4858","narv_westermeier_31_13_B1.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~633~224070"
"Clifford P. and Therese S. Westermeier Collection","Bonnie McCarroll trick riding","McCaroll, Bonnie;performer","local","","","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","photographic postcards","http://vocab.getty.edu/page/aat/300192703","","","","English","ISO639-2","http://id.loc.gov/vocabulary/iso639-2/eng","eng","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","image/tiff","1 photograph","reformatted digital","Rodeo performer Bonnie McCarroll standing in the saddle of a moving horse","Cowgirls","http://id.worldcat.org/fast/882007","Rodeos","http://id.worldcat.org/fast/1099565","Women rodeo performers","http://id.worldcat.org/fast/1178476","Women in rodeos","http://id.worldcat.org/fast/1177964","Horses","http://id.worldcat.org/fast/960603","Trick riding","http://id.worldcat.org/fast/1156638","","","","","narv_westermeier_31_13_B3.tif","https://ark.colorado.edu/ark:/47540/x16t7z8318ks","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 13, Photo B3","https://rightsstatements.org/page/NoC-US/1.0/?language=en","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States.","634","4858","narv_westermeier_31_13_B3.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~634~224068"
"Clifford P. and Therese S. Westermeier Collection","Boy with bowing horse","","","","","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","photographic postcards","http://vocab.getty.edu/page/aat/300192703","","Willoughby Studio","","English","ISO639-2","http://id.loc.gov/vocabulary/iso639-2/eng","eng","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","image/tiff","1 photograph","reformatted digital","Unidentified boy near tent, with bowing horse","Horses","http://id.worldcat.org/fast/960603","","","","","","","","","","","","","","","narv_westermeier_36_07_M3.tif","https://ark.colorado.edu/ark:/47540/bh7m0g98x5d2","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 36, Fd 7, Photo M3","https://rightsstatements.org/page/NoC-US/1.0/?language=en","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States.","635","4858","narv_westermeier_36_07_M3.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~635~223916"
"Clifford P. and Therese S. Westermeier Collection","Boys Ranch Rodeo","","","","","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","photographic postcards","http://vocab.getty.edu/page/aat/300192703","Texas--Amarillo","","","English","ISO639-2","http://id.loc.gov/vocabulary/iso639-2/eng","eng","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","image/tiff","1 photograph","reformatted digital","Circle of spectators watching bull rider at Boys Ranch Rodeo","Rodeos","http://id.worldcat.org/fast/1099565","Rodeo performers","http://id.worldcat.org/fast/1099561","Steer riding","local","","","","","","","","","","","narv_westermeier_31_09_B1.tif","https://ark.colorado.edu/ark:/47540/nv5v7b27m9c4","University of Colorado Boulder. Special Collections, Archives & Preservation","Box 31, Fd 9,. Photo B1","https://rightsstatements.org/page/NoC-US/1.0/?language=en","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States.","636","4858","narv_westermeier_31_09_B1.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~17~17~636~224213"
